"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDPHRWKD","TOT","IDX2015","A","2010",94.282164,
"CAN","GDPHRWKD","TOT","IDX2015","A","2011",95.794091,
"CAN","GDPHRWKD","TOT","IDX2015","A","2012",96.094296,
"CAN","GDPHRWKD","TOT","IDX2015","A","2013",97.521904,
"CAN","GDPHRWKD","TOT","IDX2015","A","2014",100.16543,
"CAN","GDPHRWKD","TOT","IDX2015","A","2015",100,
"CAN","GDPHRWKD","TOT","IDX2015","A","2016",100.358172,
"CAN","GDPHRWKD","TOT","IDX2015","A","2017",101.958414,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",101.996538,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",102.848075,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.772065,
"CAN","GDPHRWKD","TOT","IDX2015","A","2021",104.465477,
"FRA","GDPHRWKD","TOT","IDX2015","A","2010",95.663522,
"FRA","GDPHRWKD","TOT","IDX2015","A","2011",96.621402,
"FRA","GDPHRWKD","TOT","IDX2015","A","2012",96.937089,
"FRA","GDPHRWKD","TOT","IDX2015","A","2013",98.249867,
"FRA","GDPHRWKD","TOT","IDX2015","A","2014",99.195227,
"FRA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"FRA","GDPHRWKD","TOT","IDX2015","A","2016",100.279427,
"FRA","GDPHRWKD","TOT","IDX2015","A","2017",102.395091,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.736551,
"FRA","GDPHRWKD","TOT","IDX2015","A","2021",102.187438,
"DEU","GDPHRWKD","TOT","IDX2015","A","2010",94.936987,
"DEU","GDPHRWKD","TOT","IDX2015","A","2011",97.40629,
"DEU","GDPHRWKD","TOT","IDX2015","A","2012",98.007256,
"DEU","GDPHRWKD","TOT","IDX2015","A","2013",98.472527,
"DEU","GDPHRWKD","TOT","IDX2015","A","2014",99.49312,
"DEU","GDPHRWKD","TOT","IDX2015","A","2015",100,
"DEU","GDPHRWKD","TOT","IDX2015","A","2016",101.355337,
"DEU","GDPHRWKD","TOT","IDX2015","A","2017",103.162111,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.375684,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",104.162791,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",105.18509,
"DEU","GDPHRWKD","TOT","IDX2015","A","2021",106.100411,
"ITA","GDPHRWKD","TOT","IDX2015","A","2010",98.938252,
"ITA","GDPHRWKD","TOT","IDX2015","A","2011",99.606174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2012",99.073743,
"ITA","GDPHRWKD","TOT","IDX2015","A","2013",99.86123,
"ITA","GDPHRWKD","TOT","IDX2015","A","2014",99.940667,
"ITA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"ITA","GDPHRWKD","TOT","IDX2015","A","2016",99.692606,
"ITA","GDPHRWKD","TOT","IDX2015","A","2017",100.335718,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.323292,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.82174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",103.876571,
"ITA","GDPHRWKD","TOT","IDX2015","A","2021",102.57374,
"JPN","GDPHRWKD","TOT","IDX2015","A","2010",94.108856,
"JPN","GDPHRWKD","TOT","IDX2015","A","2011",94.686142,
"JPN","GDPHRWKD","TOT","IDX2015","A","2012",95.727548,
"JPN","GDPHRWKD","TOT","IDX2015","A","2013",97.894686,
"JPN","GDPHRWKD","TOT","IDX2015","A","2014",98.02656,
"JPN","GDPHRWKD","TOT","IDX2015","A","2015",100,
"JPN","GDPHRWKD","TOT","IDX2015","A","2016",100.144242,
"JPN","GDPHRWKD","TOT","IDX2015","A","2017",101.057367,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.582134,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",102.659468,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",101.361752,
"JPN","GDPHRWKD","TOT","IDX2015","A","2021",102.430048,"E"
"GBR","GDPHRWKD","TOT","IDX2015","A","2010",98.183656,
"GBR","GDPHRWKD","TOT","IDX2015","A","2011",98.203867,
"GBR","GDPHRWKD","TOT","IDX2015","A","2012",97.543225,
"GBR","GDPHRWKD","TOT","IDX2015","A","2013",98.011977,
"GBR","GDPHRWKD","TOT","IDX2015","A","2014",98.252909,
"GBR","GDPHRWKD","TOT","IDX2015","A","2015",100,
"GBR","GDPHRWKD","TOT","IDX2015","A","2016",99.629002,
"GBR","GDPHRWKD","TOT","IDX2015","A","2017",101.429445,
"GBR","GDPHRWKD","TOT","IDX2015","A","2018",101.908738,
"GBR","GDPHRWKD","TOT","IDX2015","A","2019",102.375673,
"GBR","GDPHRWKD","TOT","IDX2015","A","2020",103.558338,
"GBR","GDPHRWKD","TOT","IDX2015","A","2021",101.732968,
"USA","GDPHRWKD","TOT","IDX2015","A","2010",98.245288,
"USA","GDPHRWKD","TOT","IDX2015","A","2011",98.282918,
"USA","GDPHRWKD","TOT","IDX2015","A","2012",98.653951,
"USA","GDPHRWKD","TOT","IDX2015","A","2013",99.073648,
"USA","GDPHRWKD","TOT","IDX2015","A","2014",99.446088,
"USA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"USA","GDPHRWKD","TOT","IDX2015","A","2016",100.302963,
"USA","GDPHRWKD","TOT","IDX2015","A","2017",101.201253,
"USA","GDPHRWKD","TOT","IDX2015","A","2018",102.3422,
"USA","GDPHRWKD","TOT","IDX2015","A","2019",103.581713,
"USA","GDPHRWKD","TOT","IDX2015","A","2020",107.111176,
"USA","GDPHRWKD","TOT","IDX2015","A","2021",108.386615,
