Date,GRA Purchases,PRGT 1/2/,Totals,Year,SDRBillions IMF loans,$ billions IMF loans,,World GDP,World GDP billions,IMF loans as a % of World GDP (Current $),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2022,91088136681,15386591496,106474728177,2022,106.4747282,135.9554509,,9.95597E+13,99559.69428,0.136556718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,89474552025,14554823681,104029375706,2021,104.0293757,132.8330293,,9.61001E+13,96100.091,0.138223625,Divide by GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,93408630285,12481816684,105890446969,2020,105.890447,135.2093939,,8.49068E+13,84906.81419,0.159244455,Convert to dollars?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,93.89708861,,8.76529E+13,87652.86322,0.107123812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,78.93901031,,8.6413E+13,86413.03278,0.091350816,Both in current dollar value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,58.87395725,,8.1404E+13,81403.97743,0.072323195,GDP data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,71.18641598,,7.64656E+13,76465.59001,0.093096013,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,73.20832112,,7.51793E+13,75179.26627,0.097378339,IMF loan Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,96.1928853,,7.97088E+13,79708.81224,0.120680365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,115.0132317,,7.76072E+13,77607.19847,0.14819918,SDR-$ ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,122.3361372,,7.54881E+13,75488.06418,0.162060239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,118.2206057,,7.38538E+13,73853.78405,0.160073864,2022 Global GDP was estimated from IMF projections for global GDP frowth being 3.6% higher than in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,77.17392318,,6.65961E+13,66596.05101,0.115883633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,54.01310644,,6.08091E+13,60809.11183,0.088824034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,27.43675055,,6.41237E+13,64123.70427,0.04278722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,12.55567894,,5.8355E+13,58355.01509,0.021516024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,17.45068579,,5.17798E+13,51779.84559,0.033701695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,44.32595057,,4.77797E+13,47779.71479,0.092771484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,79.34506275,,4.41176E+13,44117.60113,0.179848996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,91.82421523,,3.9147E+13,39146.98839,0.234562655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,89.98138859,,3.49114E+13,34911.42705,0.257741938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,76.48741561,,3.36154E+13,33615.43597,0.227536587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,62.97843691,,3.38309E+13,33830.8788,0.186156669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,73.41566644,,3.27374E+13,32737.37497,0.224256424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,85.2187707,,3.154E+13,31539.9579,0.270193039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,67.12417857,,3.16204E+13,31620.44366,0.212280951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,53.64055734,,3.17367E+13,31736.66005,0.169017651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,53.10111305,,3.10436E+13,31043.64788,0.171053071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,38.57639047,,2.78723E+13,27872.25513,0.138404267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,37.20769319,,2.5822E+13,25821.97892,0.144093113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,35.46104723,,2.54061E+13,25406.10611,0.139576868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,34.04710081,,2.37596E+13,23759.57245,0.143298457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,29.75610853,,2.278E+13,22779.97868,0.130623952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,31.47508023,,2.0194E+13,20194.0038,0.155863496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,33.86792576,,1.9338E+13,19337.99747,0.175136675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,39.09592307,,1.73072E+13,17307.238,0.225893485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,45.13525074,,1.52053E+13,15205.31553,0.296838633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,48.09373014,,1.28601E+13,12860.09446,0.373976492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,48.1468638,,1.22698E+13,12269.79237,0.392401618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39205E+12,1.44839E+12,1.5503E+12,1.67135E+12,1.83E+12,1.99359E+12,,,2.16355E+12,2.30217E+12,,2.48482E+12,2.74074E+12,2.99675E+12,3.31026E+12,3.81654E+12,4.65624E+12,5.36674E+12,5.97799E+12,6.49837E+12,7.34966E+12,8.65521E+12,1.00527E+13,1.13349E+13,1.17259E+13,1.16081E+13,1.18383E+13,1.22698E+13,1.28601E+13,1.52053E+13,1.73072E+13,1.9338E+13,2.0194E+13,2.278E+13,2.37596E+13,2.54061E+13,2.5822E+13,2.78723E+13,3.10436E+13,3.17367E+13,3.16204E+13,3.154E+13,3.27374E+13,3.38309E+13,3.36154E+13,3.49114E+13,3.9147E+13,4.41176E+13,4.77797E+13,5.17798E+13,5.8355E+13,6.41237E+13,6.08091E+13,6.65961E+13,7.38538E+13,7.54881E+13,7.76072E+13,7.97088E+13,7.51793E+13,7.64656E+13,8.1404E+13,8.6413E+13,8.76529E+13,8.49068E+13,9.61001E+13