Countries,Continent,2017,2022,2027
Albania,Europe,4.6,7.3,9.2
Algeria,Africa,2.5,4.7,5.9
Angola,Africa,0.2,1.6,2.4
Argentina,South America,6.3,11.9,15
Armenia,Asia,2.8,4.5,5.7
Australia,Oceania,13.2,20.9,25.3
Austria,Europe,13.3,20.3,26.4
Azerbaijan,Asia,3.6,5.2,6.1
Bahrain,Asia,9.3,15.6,19.9
Bangladesh,Asia,0.8,3.2,5.1
Belarus,Europe,0.7,0.7,0.9
Belgium,Europe,14.7,20.8,25.1
Belize,North America,2.8,5.1,6.6
Benin,Africa,0.3,3.5,5.1
Bhutan,Asia,1.3,2.8,3.9
Bolivia,South America,3.5,6.9,9.3
Bosnia and Herzegovina,Europe,1.5,2.1,2.4
Botswana,Africa,0.9,2.3,3.1
Brazil,South America,7.9,17.8,23.4
Brunei Darussalam,Asia,2.2,3.7,4.8
Bulgaria,Europe,4.7,8.4,11.1
Burkina Faso,Africa,0.2,1.6,2.5
Burundi,Africa,0,1.4,3.3
Cambodia,Asia,2.9,8.3,12.1
Cameroon,Africa,1.5,5.9,8.9
Canada,North America,13.9,21.1,24.7
Chad,Africa,0.1,2.6,3.4
Chile,South America,9.8,19.4,27.7
China,Asia,7.4,17.5,24.3
Colombia,South America,7.7,13.3,17.4
Costa Rica,North America,7.3,12.3,15.1
Croatia,Europe,4.7,7.8,10.1
Cuba,North America,0.3,0.6,0.8
Cyprus,Asia,6.5,9.4,11.2
Czechia,Europe,10.3,15.5,19.6
Denmark,Europe,11.4,18.7,24
Dominican Republic,North America,8.3,14.3,18.6
Ecuador,South America,3.4,6.4,8
Egypt,Africa,2.4,4.6,6.2
El Salvador,North America,3.1,6.5,9.2
Equatorial Guinea,Africa,1,2.5,3.3
Estonia,Europe,9.3,16.1,21.1
Ethiopia,Africa,0.1,0.8,1.2
Fiji,Oceania,2.8,5.5,7.1
Finland,Europe,17.8,25.7,31.5
France,Europe,18.4,26.6,32
Gabon,Africa,1.2,2.6,3.5
Gambia,Africa,0.5,1.7,2.4
Georgia,Asia,3.8,6,7.6
Germany,Europe,22.2,28.6,34.1
Ghana,Africa,0.5,1.1,1.5
Greece,Europe,11.5,19.1,25.3
Guatemala,North America,1,2,2.7
Guinea,Africa,0.3,3.8,5.5
Guyana,South America,2.1,3.6,4.6
Haiti,North America,0.4,1.4,2.1
Honduras,North America,1.2,2.3,3.1
Hungary,Europe,7.1,12.5,16.4
Iceland,Europe,14.2,20.1,24.6
India,Asia,2.6,5.4,7.1
Indonesia,Asia,5.2,8.7,10.5
Iran,Asia,0.7,1.2,1.5
Iraq,Asia,0.7,2.4,3.5
Ireland,Europe,17.5,25.4,30.7
Israel,Asia,10.9,18.8,22.1
Italy,Europe,6.4,9.7,12.1
Ivory Coast,Africa,0.5,1.1,1.4
Jamaica,North America,1.8,3.6,4.7
Japan,Asia,10.1,15.3,19.1
Jordan,Asia,2.5,4.2,5.3
Kazakhstan,Asia,1.8,3.3,4
Kenya,Africa,2.4,3.9,4.8
Kuwait,Asia,7.6,12.9,17
Kyrgyzstan,Asia,1.9,3.4,4.4
Laos,Asia,0.7,2.1,3.1
Latvia,Europe,4.2,7.1,9.7
Lebanon,Asia,1.8,2.8,3.4
Lesotho,Africa,1,2.5,3.6
Lithuania,Europe,8.4,12.9,16.8
Luxembourg,Europe,10.7,21,28.1
Madagascar,Africa,0.2,2.9,3.9
Malawi,Africa,0.1,1.1,1.7
Malaysia,Asia,4.9,9,11.4
Malta,Europe,9.4,16.3,21.2
Mauritius,Africa,3,6.1,8.4
Mexico,North America,4,9.6,12.4
Moldova,Europe,3.8,5.4,6.4
Mongolia,Asia,1.1,2.2,3.2
Montenegro,Europe,3.4,5.5,7.2
Morocco,Africa,3.3,5.6,7
Mozambique,Africa,0.4,1.9,2.8
Myanmar,Asia,0.9,3.5,5.6
Namibia,Africa,0.5,1.2,1.7
Nepal,Asia,0.3,0.8,1.2
Netherlands,Europe,15.6,20.1,23.1
New Zealand,Oceania,4.9,8.7,13.9
Nicaragua,North America,0.3,0.9,1.3
Niger,Africa,0,3.1,5.7
Nigeria,Africa,1,4.3,6.5
North Macedonia,Europe,3,4.6,5.6
Norway,Europe,17,22.6,26.5
Oman,Asia,5.3,8.7,10.7
Pakistan,Asia,1.3,3,4.2
Panama,North America,3.2,6.5,8.2
Papua New Guinea,Oceania,0.3,3.1,4.7
Paraguay,South America,1.7,3.6,4.6
Peru,South America,4,6.8,8.7
Philippines,Asia,2,4.1,5.5
Poland,Europe,8.5,12.4,15.4
Portugal,Europe,9.7,14.3,17.6
Qatar,Asia,8,15.6,21.1
Republic of the Congo,Africa,0.4,3.7,5.5
Romania,Europe,6.1,10.1,12.9
Russia,Europe,5.2,7.1,9.7
Rwanda,Africa,0.2,0.7,1.1
Saudi Arabia,Asia,7.3,12.1,14.8
Senegal,Africa,0.4,0.9,1.3
Serbia,Europe,6,12.7,19.1
Seychelles,Africa,1.5,3.5,4.3
Sierra Leone,Africa,0.8,1.1,1.5
Singapore,Asia,9.5,20.1,27.5
Slovakia,Europe,6.4,9.7,11.5
Slovenia,Europe,2.4,4.2,5.3
South Africa,Africa,4.7,8.6,10.7
South Korea,Asia,17.5,27,33.6
Spain,Europe,8.8,13.4,16.7
Sri Lanka,Asia,3.1,6.8,9.7
Sudan,Africa,0.2,0.4,0.6
Suriname,South America,1.8,3.6,4.7
Sweden,Europe,22,31.9,38.8
Switzerland,Europe,12.8,16.2,18.8
Tajikistan,Asia,0.5,1.7,2.5
Tanzania,Africa,0.2,1.5,2.2
Thailand,Asia,7.8,13.4,17.3
Timor-Leste,Asia,0.7,2.1,3
Togo,Africa,0.1,1.1,1.7
Tunisia,Africa,3.7,5.9,7.2
Turkey,Asia,6.4,11.2,14.2
Turkmenistan,Asia,0.6,1.8,2.8
Uganda,Africa,0.3,0.8,1.1
Ukraine,Europe,4,0.9,1.1
United Arab Emirates,Asia,10,16.9,21.7
United Kingdom,Europe,23,33.7,42.1
United States,North America,21.4,37.2,46.9
Uruguay,South America,1.9,3.2,4
Uzbekistan,Asia,0.7,1.2,1.5
Vietnam,Asia,2,3.4,4.2
Zambia,Africa,0.4,0.9,1.3
Zimbabwe,Africa,0.3,0.8,1.2