,UK,Design and designer fashion,"Film, TV, radio and photography","Museums, Galleries and Libraries","Music, performing and visual arts"
Jan-19,100,100,100,100,100
Feb-19,100,101,98,108,102
Mar-19,101,104,98,96,102
Apr-19,100,104,99,96,102
May-19,101,106,97,96,104
Jun-19,101,103,99,98,107
Jul-19,101,103,95,104,108
Aug-19,101,105,95,103,108
Sep-19,101,104,98,101,102
Oct-19,101,106,99,102,98
Nov-19,101,102,97,103,102
Dec-19,101,100,98,106,108
Jan-20,101,100,91,101,105
Feb-20,100,101,93,97,105
Mar-20,93,99,87,78,81
Apr-20,75,77,70,49,47
May-20,77,72,65,49,37
Jun-20,85,72,75,53,41
Jul-20,91,80,82,70,46
Aug-20,94,87,80,68,53
Sep-20,95,89,83,72,57
Oct-20,96,93,97,73,62
Nov-20,94,88,91,54,66
Dec-20,95,87,87,54,75
Jan-21,92,88,88,56,69
Feb-21,93,88,89,55,66
Mar-21,96,87,90,60,71
Apr-21,98,91,97,66,76
May-21,99,92,94,75,79
Jun-21,99,94,101,84,77
Jul-21,99,96,99,86,81
Aug-21,99,101,104,96,94
Sep-21,100,100,98,95,100
Oct-21,101,105,109,94,113
Nov-21,101,110,111,96,119
Dec-21,101,107,104,97,112
Jan-22,102,93,107,93,89
Feb-22,102,93,104,91,112
Mar-22,102,92,108,99,116
Apr-22,102,91,106,99,112
May-22,102,94,108,98,115
Jun-22,101,96,108,105,118
,,,,,