Year,Type,Sales percentage
2011,Sync,2.44
2011,Performance Rights,10.86
2011,Digital,30.71
2011,Physical,55.99
2012,Sync,2.16
2012,Performance Rights,12.69
2012,Digital,38.44
2012,Physical,46.71
2013,Sync,2.21
2013,Performance Rights,12.92
2013,Digital,42.26
2013,Physical,42.61
2014,Sync,2.41
2014,Performance Rights,14.08
2014,Digital,43.32
2014,Physical,40.19
2015,Sync,2.76
2015,Performance Rights,14.65
2015,Digital,46.10
2015,Physical,36.49
2016,Sync,2.60
2016,Performance Rights,14.14
2016,Digital,48.98
2016,Physical,34.28
2017,Sync,2.38
2017,Performance Rights,13.33
2017,Digital,52.27
2017,Physical,32.02
2018,Sync,2.51
2018,Performance Rights,13.24
2018,Digital,60.08
2018,Physical,24.17
2019,Sync,2.60
2019,Performance Rights,12.63
2019,Digital,64.72
2019,Physical,20.06
2020,Sync,1.88
2020,Performance Rights,9.39
2020,Digital,69.95
2020,Physical,18.78