Countries,Continent,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Albania,Europe,4.6,5,5.6,6.8,7.4,7.3,7.9,8.3,8.7,9,9.2
Algeria,Africa,2.5,2.8,3.1,3.9,4.4,4.7,5.1,5.3,5.6,5.7,5.9
Angola,Africa,0.2,0.4,0.6,0.9,1.3,1.6,2,2.2,2.3,2.4,2.4
Argentina,South America,6.3,7.1,7.9,10.2,11.2,11.9,12.9,13.6,14.2,14.6,15
Armenia,Asia,2.8,3.1,3.4,4.2,4.6,4.5,4.8,5.1,5.3,5.5,5.7
Australia,Oceania,13.2,14.1,15.2,18.6,20.1,20.9,22.4,23.4,24.2,24.9,25.3
Austria,Europe,13.3,14.3,15.6,18.8,20.6,20.3,22,23.5,24.7,25.6,26.4
Azerbaijan,Asia,3.6,3.9,4.2,5,5.4,5.2,5.5,5.7,5.8,6,6.1
Bahrain,Asia,9.3,9.9,10.8,13.2,14.6,15.6,17,18.1,18.9,19.5,19.9
Bangladesh,Asia,0.8,1.1,1.5,2.2,2.7,3.2,3.8,4.3,4.6,4.9,5.1
Belarus,Europe,0.7,0.8,0.8,0.9,1,0.7,0.8,0.8,0.9,0.9,0.9
Belgium,Europe,14.7,15.7,16.8,20.2,21.7,20.8,22.1,23.1,23.9,24.6,25.1
Belize,North America,2.8,3.1,3.5,4.2,4.7,5.1,5.5,5.9,6.2,6.4,6.6
Benin,Africa,0.3,0.6,1,1.7,2.6,3.5,4.3,4.8,5,5.1,5.1
Bhutan,Asia,1.3,1.5,1.8,2.2,2.5,2.8,3.1,3.3,3.6,3.7,3.9
Bolivia,South America,3.5,3.9,4.3,5.7,6.4,6.9,7.6,8.2,8.6,9,9.3
Bosnia and Herzegovina,Europe,1.5,1.6,1.8,2.1,2.2,2.1,2.2,2.3,2.3,2.4,2.4
Botswana,Africa,0.9,1.2,1.4,1.8,2.1,2.3,2.6,2.8,2.9,3,3.1
Brazil,South America,7.9,9.2,10.8,14.4,16.3,17.8,19.5,20.9,22,22.8,23.4
Brunei Darussalam,Asia,2.2,2.4,2.7,3,3.4,3.7,4.1,4.3,4.5,4.7,4.8
Bulgaria,Europe,4.7,5.3,6.1,7.5,8.4,8.4,9.2,9.8,10.3,10.7,11.1
Burkina Faso,Africa,0.2,0.4,0.6,0.9,1.3,1.6,2,2.2,2.4,2.4,2.5
Burundi,Africa,0,0,0,0.2,0.5,1.4,2.5,3.2,3.3,3.3,3.3
Cambodia,Asia,2.9,3.8,4.8,6.2,7.3,8.3,9.4,10.3,11,11.6,12.1
Cameroon,Africa,1.5,2.1,2.9,3.9,5,5.9,7,7.7,8.3,8.7,8.9
Canada,North America,13.9,15,16.3,18.8,20.3,21.1,22.4,23.3,23.9,24.4,24.7
Chad,Africa,0.1,0.1,0.3,0.9,1.8,2.6,3.2,3.5,3.5,3.4,3.4
Chile,South America,9.8,10.7,12,15.7,17.7,19.4,21.6,23.5,25.1,26.5,27.7
China,Asia,7.4,8.5,10.2,13.1,15.5,17.5,19.7,21.3,22.6,23.5,24.3
Colombia,South America,7.7,8.3,9.1,11.2,12.4,13.3,14.5,15.5,16.3,16.9,17.4
Costa Rica,North America,7.3,7.9,8.7,10.6,11.6,12.3,13.2,13.9,14.4,14.8,15.1
Croatia,Europe,4.7,5.2,5.9,7.2,7.9,7.8,8.5,9,9.4,9.8,10.1
Cuba,North America,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8
Cyprus,Asia,6.5,7,7.6,9.1,9.8,9.4,10.1,10.5,10.8,11.1,11.2
Czechia,Europe,10.3,11.1,12.2,14.6,15.9,15.5,16.8,17.7,18.5,19.1,19.6
Denmark,Europe,11.4,12.8,14.3,17.2,19,18.7,20.3,21.5,22.5,23.4,24
Dominican Republic,North America,8.3,8.9,9.7,12.2,13.5,14.3,15.6,16.6,17.4,18.1,18.6
Ecuador,South America,3.4,3.7,4.2,5.4,6,6.4,6.9,7.3,7.6,7.9,8
Egypt,Africa,2.4,2.6,3,3.8,4.3,4.6,5.1,5.5,5.8,6,6.2
El Salvador,North America,3.1,3.5,3.9,5.2,6,6.5,7.3,7.9,8.4,8.9,9.2
Equatorial Guinea,Africa,1,1.2,1.5,1.9,2.2,2.5,2.7,3,3.1,3.2,3.3
Estonia,Europe,9.3,10.4,11.8,14.5,16.2,16.1,17.6,18.7,19.7,20.5,21.1
Ethiopia,Africa,0.1,0.2,0.3,0.5,0.6,0.8,1,1.1,1.2,1.2,1.2
Fiji,Oceania,2.8,3.1,3.5,4.5,5.1,5.5,6,6.4,6.7,7,7.1
Finland,Europe,17.8,19.1,20.9,24.4,26.5,25.7,27.5,28.8,29.9,30.8,31.5
France,Europe,18.4,19.8,21.4,25.6,27.6,26.6,28.3,29.6,30.6,31.4,32
Gabon,Africa,1.2,1.4,1.6,2.1,2.4,2.6,2.9,3.1,3.3,3.4,3.5
Gambia,Africa,0.5,0.7,0.9,1.2,1.5,1.7,2,2.2,2.3,2.4,2.4
Georgia,Asia,3.8,4.1,4.6,5.5,6.1,6,6.5,6.8,7.2,7.4,7.6
Germany,Europe,22.2,23.2,24.5,28.3,30,28.6,30.3,31.5,32.6,33.5,34.1
Ghana,Africa,0.5,0.5,0.6,0.8,1,1.1,1.2,1.3,1.4,1.4,1.5
Greece,Europe,11.5,12.7,14.2,17.4,19.3,19.1,20.8,22.2,23.4,24.4,25.3
Guatemala,North America,1,1.1,1.2,1.6,1.8,2,2.2,2.4,2.5,2.6,2.7
Guinea,Africa,0.3,0.6,1,1.9,2.8,3.8,4.6,5.2,5.4,5.5,5.5
Guyana,South America,2.1,2.2,2.5,3.1,3.4,3.6,3.9,4.1,4.3,4.5,4.6
Haiti,North America,0.4,0.6,0.7,1,1.2,1.4,1.6,1.8,1.9,2,2.1
Honduras,North America,1.2,1.3,1.5,1.9,2.1,2.3,2.6,2.8,2.9,3,3.1
Hungary,Europe,7.1,8,9.1,11.2,12.5,12.5,13.6,14.5,15.3,15.9,16.4
Iceland,Europe,14.2,15.4,16.9,18.5,20.2,20.1,21.6,22.7,23.5,24.1,24.6
India,Asia,2.6,3,3.4,4.4,5,5.4,5.9,6.3,6.6,6.9,7.1
Indonesia,Asia,5.2,5.6,6.1,7.6,8.2,8.7,9.3,9.7,10.1,10.3,10.5
Iran,Asia,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5
Iraq,Asia,0.7,0.9,1.2,1.7,2.1,2.4,2.8,3,3.2,3.4,3.5
Ireland,Europe,17.5,18.7,20.2,24.6,26.5,25.4,27.1,28.3,29.3,30.1,30.7
Israel,Asia,10.9,12,13.2,16.4,17.9,18.8,20.1,20.9,21.5,21.9,22.1
Italy,Europe,6.4,6.9,7.6,9.2,10,9.7,10.4,11,11.4,11.8,12.1
Ivory Coast,Africa,0.5,0.6,0.7,0.8,1,1.1,1.2,1.2,1.3,1.4,1.4
Jamaica,North America,1.8,2,2.3,3,3.4,3.6,4,4.2,4.4,4.6,4.7
Japan,Asia,10.1,10.9,11.8,13.5,14.6,15.3,16.4,17.3,18,18.6,19.1
Jordan,Asia,2.5,2.7,2.9,3.6,4,4.2,4.6,4.8,5,5.2,5.3
Kazakhstan,Asia,1.8,2,2.3,2.9,3.2,3.3,3.6,3.7,3.8,3.9,4
Kenya,Africa,2.4,2.5,2.7,3.4,3.7,3.9,4.2,4.4,4.6,4.7,4.8
Kuwait,Asia,7.6,8,8.7,11,12.1,12.9,14.1,15.1,15.9,16.5,17
Kyrgyzstan,Asia,1.9,2,2.3,2.8,3.2,3.4,3.7,4,4.2,4.3,4.4
Laos,Asia,0.7,0.9,1.2,1.5,1.8,2.1,2.4,2.6,2.8,2.9,3.1
Latvia,Europe,4.2,4.7,5.3,6.4,7.1,7.1,7.8,8.4,8.9,9.3,9.7
Lebanon,Asia,1.8,1.9,2.1,2.5,2.7,2.8,3,3.2,3.3,3.4,3.4
Lesotho,Africa,1,1.2,1.5,1.9,2.2,2.5,2.8,3.1,3.3,3.4,3.6
Lithuania,Europe,8.4,9.1,10.1,12,13.2,12.9,14,14.9,15.6,16.3,16.8
Luxembourg,Europe,10.7,12.3,14.4,18.3,20.9,21,23.3,24.9,26.3,27.3,28.1
Madagascar,Africa,0.2,0.3,0.6,1.3,2.1,2.9,3.6,3.9,4,4,3.9
Malawi,Africa,0.1,0.2,0.4,0.6,0.8,1.1,1.4,1.5,1.6,1.7,1.7
Malaysia,Asia,4.9,5.5,6.1,7.6,8.4,9,9.8,10.4,10.8,11.2,11.4
Malta,Europe,9.4,10.4,11.8,14.7,16.5,16.3,17.8,18.9,19.9,20.6,21.2
Mauritius,Africa,3,3.4,4,4.9,5.6,6.1,6.8,7.3,7.7,8.1,8.4
Mexico,North America,4,4.7,5.6,7.5,8.7,9.6,10.6,11.3,11.8,12.1,12.4
Moldova,Europe,3.8,4.1,4.5,5.3,5.7,5.4,5.8,6,6.1,6.3,6.4
Mongolia,Asia,1.1,1.2,1.4,1.7,2,2.2,2.5,2.7,2.9,3.1,3.2
Montenegro,Europe,3.4,3.8,4.1,5.1,5.6,5.5,6,6.4,6.7,7,7.2
Morocco,Africa,3.3,3.6,3.9,5,5.5,5.6,6,6.3,6.6,6.8,7
Mozambique,Africa,0.4,0.6,0.9,1.2,1.6,1.9,2.2,2.5,2.7,2.8,2.8
Myanmar,Asia,0.9,1.2,1.6,2.4,3,3.5,4.1,4.6,5,5.3,5.6
Namibia,Africa,0.5,0.6,0.7,0.9,1.1,1.2,1.4,1.5,1.6,1.7,1.7
Nepal,Asia,0.3,0.4,0.5,0.6,0.8,0.8,0.9,1,1.1,1.2,1.2
Netherlands,Europe,15.6,16.4,17.4,20.1,21.2,20.1,21.1,21.8,22.4,22.8,23.1
New Zealand,Oceania,4.9,5.2,5.7,6.9,7.8,8.7,9.9,11,12.1,13.1,13.9
Nicaragua,North America,0.3,0.4,0.5,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3
Niger,Africa,0,0.1,0.1,0.5,1.4,3.1,4.8,5.7,5.9,5.8,5.7
Nigeria,Africa,1,1.4,1.9,2.8,3.6,4.3,5.2,5.8,6.2,6.4,6.5
North Macedonia,Europe,3,3.3,3.6,4.4,4.8,4.6,4.9,5.2,5.4,5.5,5.6
Norway,Europe,17,18,19.2,22.1,23.6,22.6,23.9,24.8,25.6,26.1,26.5
Oman,Asia,5.3,5.6,6.1,7.6,8.3,8.7,9.4,9.9,10.3,10.5,10.7
Pakistan,Asia,1.3,1.5,1.7,2.3,2.7,3,3.4,3.7,4,4.1,4.2
Panama,North America,3.2,3.6,4.1,5.4,6.1,6.5,7.1,7.5,7.8,8,8.2
Papua New Guinea,Oceania,0.3,0.5,0.8,1.5,2.3,3.1,3.9,4.3,4.6,4.7,4.7
Paraguay,South America,1.7,2,2.2,2.9,3.3,3.6,3.9,4.2,4.3,4.5,4.6
Peru,South America,4,4.2,4.6,5.8,6.4,6.8,7.4,7.8,8.2,8.5,8.7
Philippines,Asia,2,2.3,2.5,3.4,3.8,4.1,4.5,4.9,5.2,5.4,5.5
Poland,Europe,8.5,9.2,10,11.8,12.8,12.4,13.3,14,14.6,15,15.4
Portugal,Europe,9.7,10.4,11.3,13.8,14.9,14.3,15.3,16,16.7,17.2,17.6
Qatar,Asia,8,8.8,9.9,12.6,14.3,15.6,17.2,18.5,19.6,20.4,21.1
Republic of the Congo,Africa,0.4,0.6,1.1,1.9,2.8,3.7,4.5,5.1,5.4,5.5,5.5
Romania,Europe,6.1,6.8,7.7,9.3,10.3,10.1,11,11.6,12.1,12.6,12.9
Russia,Europe,5.2,6,7,9.3,10.5,7.1,7.8,8.4,8.9,9.3,9.7
Rwanda,Africa,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1
Saudi Arabia,Asia,7.3,8,8.8,10.4,11.4,12.1,13,13.6,14.2,14.6,14.8
Senegal,Africa,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3
Serbia,Europe,6,6.8,8,10.3,12.2,12.7,14.5,16.1,17.4,18.4,19.1
Seychelles,Africa,1.5,1.9,2.3,2.9,3.3,3.5,3.8,4,4.1,4.2,4.3
Sierra Leone,Africa,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.4,1.5
Singapore,Asia,9.5,10.7,12.4,16.1,18.4,20.1,22.3,24,25.5,26.6,27.5
Slovakia,Europe,6.4,7,7.8,9.3,10.1,9.7,10.3,10.8,11.1,11.3,11.5
Slovenia,Europe,2.4,2.8,3.2,3.9,4.3,4.2,4.6,4.8,5,5.2,5.3
South Africa,Africa,4.7,5.2,5.8,7.4,8.1,8.6,9.3,9.8,10.1,10.4,10.7
South Korea,Asia,17.5,18.7,20.2,23.7,25.6,27,29,30.5,31.8,32.8,33.6
Spain,Europe,8.8,9.5,10.4,12.6,13.8,13.4,14.4,15.2,15.8,16.3,16.7
Sri Lanka,Asia,3.1,3.5,4.1,5.3,6.1,6.8,7.6,8.2,8.8,9.3,9.7
Sudan,Africa,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
Suriname,South America,1.8,2,2.3,3,3.4,3.6,4,4.2,4.4,4.5,4.7
Sweden,Europe,22,24,26.4,30,32.7,31.9,34.2,35.8,37.1,38.1,38.8
Switzerland,Europe,12.8,13.5,14.3,16,17,16.2,17.1,17.7,18.2,18.5,18.8
Tajikistan,Asia,0.5,0.7,0.9,1.2,1.4,1.7,1.9,2.1,2.3,2.4,2.5
Tanzania,Africa,0.2,0.3,0.5,0.8,1.1,1.5,1.8,2,2.1,2.2,2.2
Thailand,Asia,7.8,8.6,9.6,11.3,12.5,13.4,14.6,15.4,16.2,16.8,17.3
Timor-Leste,Asia,0.7,0.9,1.2,1.5,1.8,2.1,2.4,2.6,2.8,2.9,3
Togo,Africa,0.1,0.2,0.3,0.6,0.9,1.1,1.4,1.5,1.6,1.7,1.7
Tunisia,Africa,3.7,4,4.4,5.3,5.8,5.9,6.3,6.6,6.9,7,7.2
Turkey,Asia,6.4,7,7.8,9.8,10.9,11.2,12.1,12.8,13.4,13.9,14.2
Turkmenistan,Asia,0.6,0.8,1,1.3,1.6,1.8,2.1,2.3,2.5,2.7,2.8
Uganda,Africa,0.3,0.3,0.4,0.6,0.7,0.8,0.9,1,1,1.1,1.1
Ukraine,Europe,4,4.3,4.7,5.4,5.8,0.9,1,1,1,1.1,1.1
United Arab Emirates,Asia,10,10.8,11.9,14.3,15.7,16.9,18.4,19.5,20.4,21.1,21.7
United Kingdom,Europe,23,24.6,26.7,32,34.7,33.7,36.2,38.2,39.8,41.1,42.1
United States,North America,21.4,23.7,26.5,31.6,35,37.2,40.3,42.5,44.4,45.8,46.9
Uruguay,South America,1.9,2,2.3,2.8,3,3.2,3.5,3.6,3.8,3.9,4
Uzbekistan,Asia,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5
Vietnam,Asia,2,2.2,2.4,2.9,3.2,3.4,3.6,3.8,4,4.1,4.2
Zambia,Africa,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.3
Zimbabwe,Africa,0.3,0.4,0.4,0.6,0.8,0.8,1,1,1.1,1.2,1.2