Year,Type,Revenue
2012,Sync,16.70
2012,Public Performance,108.55
2012,LP,8.35
2012,CD,359.05
2012,Other Physical,25.05
2012,Streaming,58.45
2012,Other Digital,258.85
2013,Sync,17.16
2013,Public Performance,111.54
2013,LP,8.58
2013,CD,334.62
2013,Other Physical,17.16
2013,Streaming,77.22
2013,Other Digital,291.72
2014,Sync,16.60
2014,Public Performance,116.20
2014,LP,16.60
2014,CD,298.80
2014,Other Physical,16.60
2014,Streaming,107.90
2014,Other Digital,257.30
2015,Sync,24.96
2015,Public Performance,124.80
2015,LP,24.96
2015,CD,266.24
2015,Other Physical,8.32
2015,Streaming,166.40
2015,Other Digital,216.32
2016,Sync,26.49
2016,Public Performance,123.62
2016,LP,44.15
2016,CD,247.24
2016,Other Physical,17.66
2016,Streaming,273.73
2016,Other Digital,150.11
2017,Sync,19.38
2017,Public Performance,125.97
2017,LP,58.14
2017,CD,242.25
2017,Other Physical,9.69
2017,Streaming,397.29
2017,Other Digital,116.28
2018,Sync,29.91
2018,Public Performance,129.61
2018,LP,59.82
2018,CD,179.46
2018,Other Physical,9.97
2018,Streaming,508.47
2018,Other Digital,79.76
2019,Sync,32.34
2019,Public Performance,140.14
2019,LP,64.68
2019,CD,140.14
2019,Other Physical,10.78
2019,Streaming,625.24
2019,Other Digital,64.68
2020,Sync,22.36
2020,Public Performance,100.62
2020,LP,89.44
2020,CD,111.80
2020,Other Physical,11.18
2020,Streaming,737.88
2020,Other Digital,44.72
2021,Sync,25.24
2021,Public Performance,113.58
2021,LP,113.58
2021,CD,113.58
2021,Other Physical,12.62
2021,Streaming,832.92
2021,Other Digital,50.48