date,Borough,code,Retail,Grocery,Parks,Transit,Workplace,Residential
29/06/2022,Brent,E09000005,42,6,45,-3,-28,4
29/06/2022,Merton,E09000024,3,-7,0,-21,-32,6
29/06/2022,Greenwich,E09000011,1,4,-6,-14,-36,6
29/06/2022,Harrow,E09000015,-5,14,65,-2,-21,6
29/06/2022,Lewisham,E09000023,-5,4,14,-24,-33,7
29/06/2022,Waltham Forest,E09000031,-6,-2,-2,-31,-33,5
29/06/2022,Hillingdon,E09000017,-9,-5,51,-4,-29,5
29/06/2022,Havering,E09000016,-10,4,9,-24,-26,5
29/06/2022,Hounslow,E09000018,-11,4,21,-17,-22,5
29/06/2022,Bromley,E09000006,-11,7,14,-30,-36,8
29/06/2022,Newham,E09000025,-14,-1,165,-18,-21,4
29/06/2022,Barnet,E09000003,-14,-2,13,-23,-32,7
29/06/2022,Croydon,E09000008,-14,6,2,-25,-26,6
29/06/2022,Ealing,E09000009,-14,3,22,-25,-32,4
29/06/2022,Tower Hamlets,E09000030,-14,-7,8,-35,-37,7
29/06/2022,Barking and Dagenham,E09000002,-16,8,54,-22,-30,3
29/06/2022,Sutton,E09000029,-17,-3,24,-36,-38,7
29/06/2022,Kensington and Chelsea,E09000020,-18,1,8,-24,-35,6
29/06/2022,Redbridge,E09000026,-18,0,5,-28,-39,5
29/06/2022,Enfield,E09000010,-20,-6,14,-38,-30,5
29/06/2022,Kingston upon Thames,E09000021,-21,-7,,-27,-32,7
29/06/2022,Bexley,E09000004,-21,-1,16,-31,-32,6
29/06/2022,Lambeth,E09000022,-21,-8,66,-32,-31,7
29/06/2022,Richmond upon Thames,E09000027,-21,2,6,-33,-47,8
29/06/2022,Hammersmith and Fulham,E09000013,-21,-10,16,-34,-42,6
29/06/2022,Southwark,E09000028,-23,-8,-1,-24,-30,6
29/06/2022,Haringey,E09000014,-25,-9,-5,-34,-37,5
29/06/2022,Hackney,E09000012,-25,-4,12,-38,-31,7
29/06/2022,Wandsworth,E09000032,-27,-13,27,-16,-36,8
29/06/2022,Westminster,E09000033,-29,-7,-8,-18,-36,6
29/06/2022,Camden,E09000007,-31,-14,15,-9,-37,7
29/06/2022,Islington,E09000019,-38,-18,4,-67,-44,8
29/06/2022,City of London,E09000001,-42,-47,-30,-28,-35,
30/06/2022,Brent,E09000005,42,7,53,-2,-28,3
30/06/2022,Merton,E09000024,5,-3,-7,-22,-33,6
30/06/2022,Lewisham,E09000023,-2,7,19,-25,-35,6
30/06/2022,Harrow,E09000015,-4,13,54,-13,-22,5
30/06/2022,Waltham Forest,E09000031,-4,0,-3,-29,-35,5
30/06/2022,Hounslow,E09000018,-8,9,25,-18,-25,4
30/06/2022,Bromley,E09000006,-8,9,24,-29,-36,7
30/06/2022,Hillingdon,E09000017,-9,1,41,-4,-30,4
30/06/2022,Greenwich,E09000011,-10,8,-1,-18,-38,6
30/06/2022,Havering,E09000016,-10,11,10,-23,-26,5
30/06/2022,Barking and Dagenham,E09000002,-11,10,59,-18,-30,3
30/06/2022,Croydon,E09000008,-11,14,15,-27,-26,5
30/06/2022,Ealing,E09000009,-12,7,22,-27,-29,4
30/06/2022,Sutton,E09000029,-12,-1,30,-38,-38,6
30/06/2022,Newham,E09000025,-13,4,155,-24,-23,3
30/06/2022,Barnet,E09000003,-13,1,21,-25,-31,6
30/06/2022,Tower Hamlets,E09000030,-13,-3,12,-37,-38,7
30/06/2022,Redbridge,E09000026,-15,-3,4,-32,-37,5
30/06/2022,Bexley,E09000004,-16,3,33,-30,-31,6
30/06/2022,Enfield,E09000010,-17,-2,14,-37,-31,5
30/06/2022,Richmond upon Thames,E09000027,-18,4,16,-29,-47,7
30/06/2022,Kingston upon Thames,E09000021,-19,-4,,-24,-32,6
30/06/2022,Kensington and Chelsea,E09000020,-19,4,1,-25,-37,6
30/06/2022,Lambeth,E09000022,-21,-8,64,-29,-32,6
30/06/2022,Hackney,E09000012,-21,2,-1,-33,-32,6
30/06/2022,Haringey,E09000014,-22,-6,4,-28,-37,5
30/06/2022,Southwark,E09000028,-23,-4,-3,-26,-27,6
30/06/2022,Wandsworth,E09000032,-24,-9,21,-14,-37,7
30/06/2022,Westminster,E09000033,-26,-6,-2,-16,-35,5
30/06/2022,Camden,E09000007,-29,-8,10,-7,-37,7
30/06/2022,Hammersmith and Fulham,E09000013,-29,-6,15,-34,-41,6
30/06/2022,Islington,E09000019,-34,-13,0,-66,-43,8
30/06/2022,City of London,E09000001,-39,-45,-38,-28,-32,