quote_date,regionDesc,dateStata,dateISO,month,p_mean,p_75,p_median,p_25
200401,East Anglia,01-01-2004,2004-01-01,1,2.2623255,2.3499999,2.3,2.2
200501,East Anglia,01-01-2005,2005-01-01,1,2.267755,2.4000001,2.3,2.2
200601,East Anglia,01-01-2006,2006-01-01,1,2.3866668,2.5250001,2.395,2.3
200701,East Anglia,01-01-2007,2007-01-01,1,2.4587755,2.6500001,2.5,2.4000001
200801,East Anglia,01-01-2008,2008-01-01,1,2.5783672,2.8,2.6500001,2.45
200901,East Anglia,01-01-2009,2009-01-01,1,2.693125,2.95,2.8,2.45
201001,East Anglia,01-01-2010,2010-01-01,1,2.7974,3.05,2.9349999,2.6400001
201101,East Anglia,01-01-2011,2011-01-01,1,3.002353,3.2,3.0999999,2.8
201201,East Anglia,01-01-2012,2012-01-01,1,3.0703845,3.4000001,3.2,2.7950001
201301,East Anglia,01-01-2013,2013-01-01,1,3.1737256,3.5,3.3,2.95
201401,East Anglia,01-01-2014,2014-01-01,1,3.2579591,3.5999999,3.3,3.04
201501,East Anglia,01-01-2015,2015-01-01,1,3.3033333,3.7,3.375,3.125
201601,East Anglia,01-01-2016,2016-01-01,1,3.4238462,3.8499999,3.45,3.1500001
201701,East Anglia,01-01-2017,2017-01-01,1,3.4577777,3.9000001,3.45,3.125
201801,East Anglia,01-01-2018,2018-01-01,1,3.6310527,4.0999999,3.6500001,3.1500001
201901,East Anglia,01-01-2019,2019-01-01,1,3.636579,4.0999999,3.7249999,3
202001,East Anglia,01-01-2020,2020-01-01,1,3.6988888,4.25,3.6750002,3.2
202201,East Anglia,01-01-2022,2022-01-01,1,3.8279412,4.4499998,3.875,3.49
200401,East Midlands,01-01-2004,2004-01-01,1,2.1013513,2.25,2.2,2.03
200501,East Midlands,01-01-2005,2005-01-01,1,2.2149999,2.3,2.28,2.2
200601,East Midlands,01-01-2006,2006-01-01,1,2.2797501,2.4200001,2.3299999,2.2
200701,East Midlands,01-01-2007,2007-01-01,1,2.3378379,2.5,2.4000001,2.3
200801,East Midlands,01-01-2008,2008-01-01,1,2.4276924,2.5999999,2.5,2.3499999
200901,East Midlands,01-01-2009,2009-01-01,1,2.5605555,2.7249999,2.625,2.4250002
201001,East Midlands,01-01-2010,2010-01-01,1,2.6227026,2.8499999,2.7,2.5
201101,East Midlands,01-01-2011,2011-01-01,1,2.8219445,3.0250001,2.9250002,2.7249999
201201,East Midlands,01-01-2012,2012-01-01,1,2.8737838,3.1500001,3,2.5699999
201301,East Midlands,01-01-2013,2013-01-01,1,2.9508824,3.25,3,2.6500001
201401,East Midlands,01-01-2014,2014-01-01,1,3.040606,3.3,3.0999999,2.9000001
201501,East Midlands,01-01-2015,2015-01-01,1,3.0077777,3.4000001,3.05,2.7
201601,East Midlands,01-01-2016,2016-01-01,1,3.0641379,3.4000001,3.0999999,2.8499999
201701,East Midlands,01-01-2017,2017-01-01,1,3.2010715,3.5999999,3.2,2.9949999
201801,East Midlands,01-01-2018,2018-01-01,1,3.332963,3.8,3.5999999,2.9000001
201901,East Midlands,01-01-2019,2019-01-01,1,3.335,3.75,3.45,2.99
202001,East Midlands,01-01-2020,2020-01-01,1,3.4093103,3.9000001,3.48,2.95
202201,East Midlands,01-01-2022,2022-01-01,1,3.6035714,4.0500002,3.6500001,3.1999998
200401,London,01-01-2004,2004-01-01,1,2.3785484,2.5999999,2.3599999,2.2
200501,London,01-01-2005,2005-01-01,1,2.3923078,2.7,2.45,2.2
200601,London,01-01-2006,2006-01-01,1,2.4404838,2.7,2.5,2.25
200701,London,01-01-2007,2007-01-01,1,2.5055933,2.8,2.5,2.25
200801,London,01-01-2008,2008-01-01,1,2.596087,2.8900001,2.5999999,2.46
200901,London,01-01-2009,2009-01-01,1,2.7549231,3,2.8,2.49
201001,London,01-01-2010,2010-01-01,1,2.8030303,3.0999999,2.8499999,2.45
201101,London,01-01-2011,2011-01-01,1,2.95,3.3099999,3,2.5999999
201201,London,01-01-2012,2012-01-01,1,3.1158824,3.5,3.1599998,2.8249998
201301,London,01-01-2013,2013-01-01,1,3.252985,3.5999999,3.2,3
201401,London,01-01-2014,2014-01-01,1,3.3241935,3.8499999,3.3900001,2.97
201501,London,01-01-2015,2015-01-01,1,3.4314001,4,3.5999999,2.95
201601,London,01-01-2016,2016-01-01,1,3.5024445,4,3.6500001,3.0999999
201701,London,01-01-2017,2017-01-01,1,3.5610204,4.1999998,3.7,3.0999999
201801,London,01-01-2018,2018-01-01,1,3.7776923,4.5,3.8249998,3.0999999
201901,London,01-01-2019,2019-01-01,1,3.8759184,4.6999998,3.8,3.1900001
202001,London,01-01-2020,2020-01-01,1,4.134706,4.8499999,4,3.5
202201,London,01-01-2022,2022-01-01,1,4.428936,5.25,4.75,3.75
200401,North,01-01-2004,2004-01-01,1,2.0104761,2.1500001,2.05,1.9
200501,North,01-01-2005,2005-01-01,1,2.0526087,2.2,2.0999999,1.95
200601,North,01-01-2006,2006-01-01,1,2.1082609,2.25,2.1900001,2
200701,North,01-01-2007,2007-01-01,1,2.2566667,2.3599999,2.3,2.2
200801,North,01-01-2008,2008-01-01,1,2.2276189,2.46,2.3499999,2.04
200901,North,01-01-2009,2009-01-01,1,2.4173913,2.6500001,2.45,2.3
201001,North,01-01-2010,2010-01-01,1,2.5395651,2.8,2.53,2.4000001
201101,North,01-01-2011,2011-01-01,1,2.6314285,2.8599999,2.6500001,2.45
201201,North,01-01-2012,2012-01-01,1,2.6965218,2.9000001,2.75,2.5
201301,North,01-01-2013,2013-01-01,1,2.932857,3.1500001,2.9000001,2.75
201401,North,01-01-2014,2014-01-01,1,2.8834999,3.2249999,2.8499999,2.5999999
201501,North,01-01-2015,2015-01-01,1,2.934706,3.2,3.05,2.8
201601,North,01-01-2016,2016-01-01,1,2.9642856,3.25,3.0999999,2.8499999
201701,North,01-01-2017,2017-01-01,1,2.9838889,3.25,3.125,2.9000001
201801,North,01-01-2018,2018-01-01,1,3.04,3.3,3.1700001,2.95
201901,North,01-01-2019,2019-01-01,1,3.0831249,3.375,3.1700001,2.8499999
202001,North,01-01-2020,2020-01-01,1,3.2317648,3.5,3.3,3
202201,North,01-01-2022,2022-01-01,1,3.2623529,3.8,3.3,2.6900001
200401,North West,01-01-2004,2004-01-01,1,2.0530357,2.1500001,2.0999999,2
200501,North West,01-01-2005,2005-01-01,1,2.1075001,2.23,2.1500001,2.0599999
200601,North West,01-01-2006,2006-01-01,1,2.1678948,2.3,2.2,2.0999999
200701,North West,01-01-2007,2007-01-01,1,2.1859615,2.3800001,2.25,2.02
200801,North West,01-01-2008,2008-01-01,1,2.2708621,2.45,2.3,2.0999999
200901,North West,01-01-2009,2009-01-01,1,2.3586206,2.55,2.3900001,2.2
201001,North West,01-01-2010,2010-01-01,1,2.4494736,2.6500001,2.5,2.25
201101,North West,01-01-2011,2011-01-01,1,2.5936208,2.8,2.5999999,2.45
201201,North West,01-01-2012,2012-01-01,1,2.6208773,2.9000001,2.6500001,2.3499999
201301,North West,01-01-2013,2013-01-01,1,2.7183635,3.0999999,2.8,2.25
201401,North West,01-01-2014,2014-01-01,1,2.8707547,3.2,2.95,2.3499999
201501,North West,01-01-2015,2015-01-01,1,2.9187233,3.3499999,2.95,2.3900001
201601,North West,01-01-2016,2016-01-01,1,2.9436171,3.3900001,2.95,2.4400001
201701,North West,01-01-2017,2017-01-01,1,3.0876596,3.45,3.05,2.6500001
201801,North West,01-01-2018,2018-01-01,1,3.1206977,3.5899999,3.05,2.75
201901,North West,01-01-2019,2019-01-01,1,3.0479069,3.5899999,3.05,2.55
202001,North West,01-01-2020,2020-01-01,1,3.0188372,3.5899999,2.95,2.3900001
202201,North West,01-01-2022,2022-01-01,1,3.2520587,3.75,3.175,2.5899999
200401,Northern Ireland,01-01-2004,2004-01-01,1,2.2294445,2.3,2.2249999,2.2
200501,Northern Ireland,01-01-2005,2005-01-01,1,2.2744443,2.4000001,2.3,2.2
200601,Northern Ireland,01-01-2006,2006-01-01,1,2.2847369,2.5,2.4000001,2.2
200701,Northern Ireland,01-01-2007,2007-01-01,1,2.4045,2.5250001,2.4749999,2.25
200801,Northern Ireland,01-01-2008,2008-01-01,1,2.408421,2.7,2.5999999,2.2
200901,Northern Ireland,01-01-2009,2009-01-01,1,2.5342104,2.8,2.7,1.99
201001,Northern Ireland,01-01-2010,2010-01-01,1,2.6642106,2.9000001,2.8,2.3900001
201101,Northern Ireland,01-01-2011,2011-01-01,1,2.8911111,3.0999999,3,2.7
201201,Northern Ireland,01-01-2012,2012-01-01,1,3.0047369,3.25,3.0999999,3
201301,Northern Ireland,01-01-2013,2013-01-01,1,3.0116668,3.3,3.2,2.8499999
201401,Northern Ireland,01-01-2014,2014-01-01,1,3.0394118,3.3,3.2,2.99
201501,Northern Ireland,01-01-2015,2015-01-01,1,3.1307142,3.5,3.3,2.8
201601,Northern Ireland,01-01-2016,2016-01-01,1,3.2566667,3.7,3.4000001,3.05
201701,Northern Ireland,01-01-2017,2017-01-01,1,3.345,3.8,3.5,3.05
201801,Northern Ireland,01-01-2018,2018-01-01,1,3.5428572,3.9000001,3.5999999,3.05
201901,Northern Ireland,01-01-2019,2019-01-01,1,3.7326667,3.9000001,3.8499999,3.5
202001,Northern Ireland,01-01-2020,2020-01-01,1,3.98,4.3000002,4,3.5999999
202201,Northern Ireland,01-01-2022,2022-01-01,1,4.3850002,4.5,4.4499998,4.3000002
200401,Scotland,01-01-2004,2004-01-01,1,2.0768421,2.2,2.05,1.95
200501,Scotland,01-01-2005,2005-01-01,1,2.0529268,2.2,2.0999999,1.91
200601,Scotland,01-01-2006,2006-01-01,1,2.1588094,2.3,2.2,2.0999999
200701,Scotland,01-01-2007,2007-01-01,1,2.2672501,2.4000001,2.3,2.1500001
200801,Scotland,01-01-2008,2008-01-01,1,2.2686112,2.4749999,2.3,2.05
200901,Scotland,01-01-2009,2009-01-01,1,2.4980953,2.6500001,2.5,2.3499999
201001,Scotland,01-01-2010,2010-01-01,1,2.5609524,2.8,2.5999999,2.4000001
201101,Scotland,01-01-2011,2011-01-01,1,2.716579,2.9200001,2.75,2.5
201201,Scotland,01-01-2012,2012-01-01,1,2.8399999,3.05,2.9000001,2.5999999
201301,Scotland,01-01-2013,2013-01-01,1,2.8913043,3.0999999,2.9250002,2.6500001
201401,Scotland,01-01-2014,2014-01-01,1,2.9787235,3.3,3,2.6900001
201501,Scotland,01-01-2015,2015-01-01,1,3.0402858,3.3,3,2.79
201601,Scotland,01-01-2016,2016-01-01,1,3.0091176,3.3499999,3,2.55
201701,Scotland,01-01-2017,2017-01-01,1,3.0799999,3.4000001,3.0999999,2.75
201801,Scotland,01-01-2018,2018-01-01,1,3.2311764,3.52,3.3,2.99
201901,Scotland,01-01-2019,2019-01-01,1,3.330606,3.5899999,3.4000001,3.1500001
202001,Scotland,01-01-2020,2020-01-01,1,3.4506061,3.75,3.45,3.2
202201,Scotland,01-01-2022,2022-01-01,1,3.5948,3.9000001,3.5999999,3.45
200401,South East,01-01-2004,2004-01-01,1,2.3388462,2.5,2.4000001,2.25
200501,South East,01-01-2005,2005-01-01,1,2.3767123,2.5999999,2.5,2.3
200601,South East,01-01-2006,2006-01-01,1,2.4386487,2.5999999,2.5250001,2.4000001
200701,South East,01-01-2007,2007-01-01,1,2.5837662,2.8,2.6500001,2.45
200801,South East,01-01-2008,2008-01-01,1,2.6643836,2.9000001,2.75,2.53
200901,South East,01-01-2009,2009-01-01,1,2.806,3.0999999,2.9000001,2.5999999
201001,South East,01-01-2010,2010-01-01,1,2.865921,3.0999999,2.9549999,2.6750002
201101,South East,01-01-2011,2011-01-01,1,3.0373683,3.3,3.0749998,2.8499999
201201,South East,01-01-2012,2012-01-01,1,3.1685715,3.4000001,3.2,2.95
201301,South East,01-01-2013,2013-01-01,1,3.3269737,3.5749998,3.4000001,3.0799999
201401,South East,01-01-2014,2014-01-01,1,3.4011393,3.7,3.45,3.0899999
201501,South East,01-01-2015,2015-01-01,1,3.4950876,3.8499999,3.5999999,3.2
201601,South East,01-01-2016,2016-01-01,1,3.5543859,3.9000001,3.6500001,3.29
201701,South East,01-01-2017,2017-01-01,1,3.5557628,3.95,3.5999999,3.3
201801,South East,01-01-2018,2018-01-01,1,3.7157629,4.1999998,3.8,3.4000001
201901,South East,01-01-2019,2019-01-01,1,3.6831667,4.1499996,3.7249999,3.3249998
202001,South East,01-01-2020,2020-01-01,1,3.7017241,4.25,3.9749999,2.95
202201,South East,01-01-2022,2022-01-01,1,3.9486275,4.5999999,4.1999998,3.3499999
200401,South West,01-01-2004,2004-01-01,1,2.2061703,2.3,2.25,2.1300001
200501,South West,01-01-2005,2005-01-01,1,2.2676597,2.4000001,2.3,2.2
200601,South West,01-01-2006,2006-01-01,1,2.3175557,2.5,2.3699999,2.25
200701,South West,01-01-2007,2007-01-01,1,2.4340425,2.5999999,2.5,2.4000001
200801,South West,01-01-2008,2008-01-01,1,2.5376596,2.7,2.5999999,2.47
200901,South West,01-01-2009,2009-01-01,1,2.6888888,2.9000001,2.75,2.5999999
201001,South West,01-01-2010,2010-01-01,1,2.7856522,3,2.9000001,2.55
201101,South West,01-01-2011,2011-01-01,1,3.0395455,3.3,3.0749998,2.885
201201,South West,01-01-2012,2012-01-01,1,3.0834885,3.4000001,3.0999999,2.95
201301,South West,01-01-2013,2013-01-01,1,3.3307142,3.55,3.4000001,3.0999999
201401,South West,01-01-2014,2014-01-01,1,3.3909302,3.6400001,3.4000001,3.2
201501,South West,01-01-2015,2015-01-01,1,3.4209092,3.6500001,3.5,3.2
201601,South West,01-01-2016,2016-01-01,1,3.4802856,3.8,3.5,3.25
201701,South West,01-01-2017,2017-01-01,1,3.5582354,3.95,3.5999999,3.25
201801,South West,01-01-2018,2018-01-01,1,3.6681819,4,3.8499999,3.4000001
201901,South West,01-01-2019,2019-01-01,1,3.6624999,4.0500002,3.8,3.4000001
202001,South West,01-01-2020,2020-01-01,1,3.7164705,4.0999999,3.9000001,3.4000001
202201,South West,01-01-2022,2022-01-01,1,3.8021739,4.4000001,3.95,3.5999999
200401,Wales,01-01-2004,2004-01-01,1,2.0786364,2.2,2.0999999,1.98
200501,Wales,01-01-2005,2005-01-01,1,2.1016667,2.3,2.125,2
200601,Wales,01-01-2006,2006-01-01,1,2.1765218,2.4000001,2.1900001,2.0999999
200701,Wales,01-01-2007,2007-01-01,1,2.2782609,2.4000001,2.3,2.2
200801,Wales,01-01-2008,2008-01-01,1,2.3376191,2.45,2.4000001,2.25
200901,Wales,01-01-2009,2009-01-01,1,2.4660869,2.7,2.5,2.25
201001,Wales,01-01-2010,2010-01-01,1,2.6054544,2.8499999,2.625,2.5
201101,Wales,01-01-2011,2011-01-01,1,2.7877274,2.95,2.8499999,2.5999999
201201,Wales,01-01-2012,2012-01-01,1,2.8795834,3.05,2.875,2.75
201301,Wales,01-01-2013,2013-01-01,1,2.9991667,3.1500001,3,2.8
201401,Wales,01-01-2014,2014-01-01,1,3.0747826,3.25,3.05,2.9000001
201501,Wales,01-01-2015,2015-01-01,1,3.1117647,3.3,3.1900001,3
201601,Wales,01-01-2016,2016-01-01,1,3.1435294,3.4000001,3.2,3
201701,Wales,01-01-2017,2017-01-01,1,3.087647,3.3499999,3.25,2.95
201801,Wales,01-01-2018,2018-01-01,1,3.0738888,3.4000001,3.0999999,2.8
201901,Wales,01-01-2019,2019-01-01,1,3.1229413,3.45,3,2.5999999
202001,Wales,01-01-2020,2020-01-01,1,3.152353,3.55,3.0999999,2.5999999
202201,Wales,01-01-2022,2022-01-01,1,3.3771429,3.9000001,3.2750001,2.9000001
200401,West Midlands,01-01-2004,2004-01-01,1,2.1919048,2.3,2.1600001,2.05
200501,West Midlands,01-01-2005,2005-01-01,1,2.2369769,2.3499999,2.25,2.0999999
200601,West Midlands,01-01-2006,2006-01-01,1,2.2217391,2.3499999,2.25,2.1500001
200701,West Midlands,01-01-2007,2007-01-01,1,2.3259523,2.5,2.375,2.22
200801,West Midlands,01-01-2008,2008-01-01,1,2.3870454,2.5999999,2.45,2.25
200901,West Midlands,01-01-2009,2009-01-01,1,2.5014634,2.75,2.5999999,2.3499999
201001,West Midlands,01-01-2010,2010-01-01,1,2.5092683,2.8,2.6500001,2.3199999
201101,West Midlands,01-01-2011,2011-01-01,1,2.7049999,3,2.8,2.45
201201,West Midlands,01-01-2012,2012-01-01,1,2.7802439,3,2.8,2.55
201301,West Midlands,01-01-2013,2013-01-01,1,2.8946154,3.25,2.95,2.6500001
201401,West Midlands,01-01-2014,2014-01-01,1,2.8916667,3.2,2.99,2.5999999
201501,West Midlands,01-01-2015,2015-01-01,1,2.9303031,3.2,3,2.75
201601,West Midlands,01-01-2016,2016-01-01,1,2.9845455,3.3,3.05,2.8
201701,West Midlands,01-01-2017,2017-01-01,1,3.0345454,3.25,3.0999999,2.8900001
201801,West Midlands,01-01-2018,2018-01-01,1,3.131613,3.45,3.1500001,2.95
201901,West Midlands,01-01-2019,2019-01-01,1,3.1412122,3.5,3.2,2.8499999
202001,West Midlands,01-01-2020,2020-01-01,1,3.2472727,3.55,3.3,2.9000001
202201,West Midlands,01-01-2022,2022-01-01,1,3.3986666,3.6500001,3.45,3.0999999
200401,Yorkshire & Humber,01-01-2004,2004-01-01,1,2.0920589,2.1500001,2.0999999,2.0699999
200501,Yorkshire & Humber,01-01-2005,2005-01-01,1,2.1874359,2.3499999,2.2,2.0999999
200601,Yorkshire & Humber,01-01-2006,2006-01-01,1,2.2751162,2.4000001,2.3,2.2
200701,Yorkshire & Humber,01-01-2007,2007-01-01,1,2.3304443,2.5,2.4000001,2.2
200801,Yorkshire & Humber,01-01-2008,2008-01-01,1,2.4202499,2.625,2.5,2.23
200901,Yorkshire & Humber,01-01-2009,2009-01-01,1,2.5576086,2.8,2.575,2.3
201001,Yorkshire & Humber,01-01-2010,2010-01-01,1,2.6317778,2.9000001,2.75,2.3499999
201101,Yorkshire & Humber,01-01-2011,2011-01-01,1,2.8075554,3,2.9000001,2.6500001
201201,Yorkshire & Humber,01-01-2012,2012-01-01,1,2.8846807,3.0999999,3,2.6500001
201301,Yorkshire & Humber,01-01-2013,2013-01-01,1,3.0016668,3.3,3.1500001,2.75
201401,Yorkshire & Humber,01-01-2014,2014-01-01,1,2.9578049,3.3,3.0999999,2.74
201501,Yorkshire & Humber,01-01-2015,2015-01-01,1,3.1194117,3.45,3.2,2.99
201601,Yorkshire & Humber,01-01-2016,2016-01-01,1,3.1171429,3.5,3.25,2.95
201701,Yorkshire & Humber,01-01-2017,2017-01-01,1,3.1444118,3.5999999,3.2,2.7
201801,Yorkshire & Humber,01-01-2018,2018-01-01,1,3.1188889,3.6750002,3.2,2.5
201901,Yorkshire & Humber,01-01-2019,2019-01-01,1,3.195143,3.8,3.25,2.55
202001,Yorkshire & Humber,01-01-2020,2020-01-01,1,3.223125,3.6750002,3.3249998,2.6999998
202201,Yorkshire & Humber,01-01-2022,2022-01-01,1,3.4557576,4.0999999,3.5,2.75
